Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000229,2025-12-28,2025-12-28,,"Steven Spielberg","Schindler's List","December 18, 1946"
2,nm0000217,2025-12-28,2025-12-28,,"Martin Scorsese","Taxi Driver","November 17, 1942"
3,nm0634240,2025-12-28,2025-12-28,,"Christopher Nolan","Tenet","July 30, 1970"
4,nm0001392,2025-12-28,2025-12-28,,"Peter Jackson","The Lord of the Rings: The Fellowship of the Ring","October 31, 1961"
5,nm0000116,2025-12-28,2025-12-28,,"James Cameron","Avatar: The Way of Water","August 16, 1954"
6,nm0000759,2025-12-28,2025-12-28,,"Paul Thomas Anderson","One Battle After Another","June 26, 1970"
7,nm0000399,2025-12-28,2025-12-28,,"David Fincher","Se7en","August 28, 1962"
8,nm0000233,2025-12-28,2025-12-28,,"Quentin Tarantino","Reservoir Dogs","March 27, 1963"
9,nm0898288,2025-12-28,2025-12-28,,"Denis Villeneuve","Dune: Part One","October 3, 1967"
10,nm0094435,2025-12-28,2025-12-28,,"Bong Joon Ho","Snowpiercer","September 14, 1969"
11,nm0000040,2025-12-28,2025-12-28,,"Stanley Kubrick","2001: A Space Odyssey","July 26, 1928"
12,nm0000184,2025-12-28,2025-12-28,,"George Lucas","Star Wars","May 14, 1944"
13,nm0000338,2025-12-28,2025-12-28,,"Francis Ford Coppola","Apocalypse Now","April 7, 1939"
14,nm0000361,2025-12-28,2025-12-28,,"Brian De Palma","Body Double","September 11, 1940"
15,nm0000033,2025-12-28,2025-12-28,,"Alfred Hitchcock","Psycho","August 13, 1899"
16,nm0000142,2025-12-28,2025-12-28,,"Clint Eastwood","Million Dollar Baby","May 31, 1930"
17,nm0000709,2025-12-28,2025-12-28,,"Robert Zemeckis","Back to the Future","May 14, 1951"
18,nm0000165,2025-12-28,2025-12-28,,"Ron Howard","Arrested Development","March 1, 1954"
19,nm0027572,2025-12-28,2025-12-28,,"Wes Anderson","Fantastic Mr. Fox","May 1, 1969"
20,nm0716257,2025-12-28,2025-12-28,,"Matt Reeves","The Batman","April 27, 1966"
21,nm0348181,2025-12-28,2025-12-28,,"James Gunn","Guardians of the Galaxy","August 5, 1966"
22,nm0751648,2025-12-28,2025-12-28,,"Joe Russo","Avengers: Endgame","July 8, 1971"
23,nm0000600,2025-12-28,2025-12-28,,"Sam Raimi","Spider-Man","October 23, 1959"
24,nm0000318,2025-12-28,2025-12-28,,"Tim Burton","Edward Scissorhands","August 25, 1958"
25,nm0000110,2025-12-28,2025-12-28,,"Kenneth Branagh","Henry V","December 10, 1960"
26,nm0005222,2025-12-28,2025-12-28,,"Sam Mendes","1917","August 1, 1965"
27,nm0003506,2025-12-28,2025-12-28,,"James Mangold","Logan","December 16, 1963"
28,nm0001880,2025-12-28,2025-12-28,,"Edward Zwick","Thirtysomething","October 8, 1952"
29,nm0868219,2025-12-28,2025-12-28,,"Guillermo del Toro","El laberinto del fauno","October 9, 1964"
30,nm0190859,2025-12-28,2025-12-28,,"Alfonso Cuarón","Gravity","November 28, 1961"
31,nm0327944,2025-12-28,2025-12-28,,"Alejandro G. Iñárritu","Biutiful","August 15, 1963"
32,nm0001565,2025-12-28,2025-12-28,,"Mike Newell","Four Weddings and a Funeral","March 28, 1942"
33,nm0001060,2025-12-28,2025-12-28,,"Chris Columbus","Harry Potter and the Sorcerer's Stone","September 10, 1958"
34,nm0048918,2025-12-28,2025-12-28,,"Sean Baker","Red Rocket","February 26"
35,nm1199107,2025-12-28,2025-12-28,,"Zach Cregger","Barbarian","March 1, 1981"
36,nm3211470,2025-12-28,2025-12-28,,"Robert Eggers","The Lighthouse","July 7, 1983"
37,nm1490123,2025-12-28,2025-12-28,,"James Wan","Saw","February 26, 1977"
38,nm0000941,2025-12-28,2025-12-28,,"Kathryn Bigelow","The Hurt Locker","November 27, 1951"
39,nm0002120,2025-12-28,2025-12-28,,"Lasse Hallström","What's Eating Gilbert Grape","June 2, 1946"
40,nm0000631,2025-12-28,2025-12-28,,"Ridley Scott","The Martian","November 30, 1937"
41,nm0000520,2025-12-28,2025-12-28,,"Michael Mann","The Insider","February 5, 1943"
42,nm0004716,2025-12-28,2025-12-28,,"Darren Aronofsky","Pi","February 12, 1969"
43,nm0000965,2025-12-28,2025-12-28,,"Danny Boyle","127 Hours","October 20, 1956"
44,nm0751102,2025-12-28,2025-12-28,,"David O. Russell","American Hustle","August 20, 1958"
45,nm3227090,2025-12-28,2025-12-28,,"Damien Chazelle","La La Land","January 19, 1985"
46,nm0000500,2025-12-28,2025-12-28,,"Richard Linklater","Waking Life","July 30, 1960"
47,nm1443502,2025-12-28,2025-12-28,,"Jordan Peele","Nope","February 21, 1979"
