Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000154,2025-11-15,2025-11-15,,"Mel Gibson","Braveheart","January 3, 1956"
2,nm0000658,2025-11-15,2025-11-15,,"Meryl Streep","Out of Africa","June 22, 1949"
3,nm0000158,2025-11-15,2025-11-15,,"Tom Hanks","Cast Away","July 9, 1956"
4,nm0000243,2025-11-15,2025-11-15,,"Denzel Washington","Fences","December 28, 1954"
5,nm0000191,2025-11-15,2025-11-15,,"Ewan McGregor","Moulin Rouge!","March 31, 1971"
6,nm0000375,2025-11-15,2025-11-15,,"Robert Downey Jr.","Iron Man","April 4, 1965"
7,nm0000701,2025-11-15,2025-11-15,,"Kate Winslet","Eternal Sunshine of the Spotless Mind","October 5, 1975"
8,nm0000149,2025-11-15,2025-11-15,,"Jodie Foster","The Silence of the Lambs","November 19, 1962"
9,nm1208167,2025-11-15,2025-11-15,,"Diane Kruger","Inglourious Basterds","July 15, 1976"
10,nm0001132,2025-11-15,2025-11-15,,"Judi Dench","Skyfall","December 9, 1934"
11,nm0000142,2025-11-15,2025-11-15,,"Clint Eastwood","Million Dollar Baby","May 31, 1930"
12,nm0000148,2025-11-15,2025-11-15,,"Harrison Ford","Raiders of the Lost Ark","July 13, 1942"
13,nm0000163,2025-11-15,2025-11-15,,"Dustin Hoffman","Tootsie","August 8, 1937"
14,nm0000870,2025-11-15,2025-11-15,,"Kathy Bates","Misery","June 28, 1948"
15,nm0000234,2025-11-15,2025-11-15,,"Charlize Theron","Monster","August 7, 1975"
16,nm0004950,2025-11-15,2025-11-15,,"Jennifer Garner","Alias","April 17, 1972"
17,nm0000602,2025-11-15,2025-11-15,,"Robert Redford","The Natural","August 18, 1936"
18,nm0001593,2025-11-15,2025-11-15,,"Anna Paquin","The Piano","July 24, 1982"
19,nm0000469,2025-11-15,2025-11-15,,"James Earl Jones","Rogue One","January 17, 1931"
20,nm0000124,2025-11-15,2025-11-15,,"Jennifer Connelly","A Beautiful Mind","December 12, 1970"
21,nm1519680,2025-11-15,2025-11-15,,"Saoirse Ronan","Hanna","April 12, 1994"
22,nm0000139,2025-11-15,2025-11-15,,"Cameron Diaz","Charlie's Angels","August 30, 1972"
23,nm0001772,2025-11-15,2025-11-15,,"Patrick Stewart","Logan","July 13, 1940"
24,nm0000673,2025-11-15,2025-11-15,,"Marisa Tomei","My Cousin Vinny","December 4, 1964"
25,nm0262635,2025-11-15,2025-11-15,,"Chris Evans","The Avengers","June 13, 1981"
26,nm0000553,2025-11-15,2025-11-15,,"Liam Neeson","Kinsey","June 7, 1952"
